file,label,mean,std,rms,zcr,centroid,bandwidth,contrast,rolloff
data_preprocessed\train\buka\buka48k-buka_0.wav.wav,buka,0.025847858,0.1558946,0.12979656,0.16974431818181818,916.3243680750293,1140.7268980658139,20.366493193492346,1669.034090909091
data_preprocessed\train\buka\buka48k-buka_1.wav.wav,buka,0.03001439,0.14583969,0.11990471,0.09864908854166667,955.0817756584887,1091.8311755195157,20.999795377749,1702.34375
data_preprocessed\train\buka\buka48k-buka_10.wav.wav,buka,0.030017825,0.14584678,0.11991091,0.09861653645833333,955.0292710913319,1091.6847622741382,21.000394812808434,1702.0833333333333
data_preprocessed\train\buka\buka48k-buka_100.wav.wav,buka,0.030583289,0.14889283,0.12340531,0.10443115234375,968.7502518134648,1101.566681154444,20.754617369784256,1756.5104166666667
data_preprocessed\train\buka\buka48k-buka_101.wav.wav,buka,0.030490147,0.148905,0.12338072,0.10906982421875,971.5697266781308,1107.7356737778346,20.69533667346145,1759.4401041666667
data_preprocessed\train\buka\buka48k-buka_102.wav.wav,buka,0.030657183,0.1489251,0.12345544,0.10288492838541667,968.0271201499589,1099.9363339694246,20.74884175908839,1755.2083333333333
data_preprocessed\train\buka\buka48k-buka_103.wav.wav,buka,0.039478328,0.23730873,0.20611526,0.07746834590517242,1039.3723548368976,1154.9449841156704,22.672345954996814,2086.7456896551726
data_preprocessed\train\buka\buka48k-buka_104.wav.wav,buka,0.030590773,0.1489049,0.12341694,0.10382080078125,968.811220185998,1101.9673805779778,20.831809172919552,1756.5104166666667
data_preprocessed\train\buka\buka48k-buka_105.wav.wav,buka,0.03940634,0.23730771,0.20609225,0.08044854525862069,1040.0825514499898,1156.90254887073,22.679073671544614,2088.9008620689656
data_preprocessed\train\buka\buka48k-buka_106.wav.wav,buka,0.030284742,0.14878045,0.12321398,0.11435953776041667,978.3226726234939,1121.7328203040804,20.55208156076466,1768.2291666666667
data_preprocessed\train\buka\buka48k-buka_107.wav.wav,buka,0.030621335,0.1489185,0.123437725,0.10349527994791667,968.4162677128215,1100.8766059424008,20.788155794551837,1755.2083333333333
data_preprocessed\train\buka\buka48k-buka_108.wav.wav,buka,0.030640787,0.14892018,0.12344653,0.10272216796875,968.1750407832333,1100.2264942511504,20.73722658052123,1754.8828125
data_preprocessed\train\buka\buka48k-buka_109.wav.wav,buka,0.031364642,0.15485524,0.13024303,0.09972563244047619,959.7204470105089,1093.139096742481,21.06160676755602,1729.1666666666667
data_preprocessed\train\buka\buka48k-buka_11.wav.wav,buka,0.042825308,0.24892664,0.21553619,0.07473493303571428,1044.8388456172127,1161.875183126491,23.116057073633403,2113.839285714286
data_preprocessed\train\buka\buka48k-buka_110.wav.wav,buka,0.041450445,0.24848399,0.21540852,0.07718460648148148,1031.4325639682254,1153.1727607861349,22.825463087418424,2078.703703703704
data_preprocessed\train\buka\buka48k-buka_111.wav.wav,buka,0.041552488,0.2485197,0.21547116,0.07468894675925926,1030.2797275454823,1150.6116145103306,22.788412900415516,2077.8356481481483
data_preprocessed\train\buka\buka48k-buka_112.wav.wav,buka,0.03122567,0.15483241,0.13018163,0.10767764136904762,961.7636780562489,1097.208857484849,21.125549166670996,1732.8869047619048
data_preprocessed\train\buka\buka48k-buka_113.wav.wav,buka,0.031091949,0.15474987,0.13007325,0.11632719494047619,964.9349698312542,1104.2576255811834,20.85314585919779,1736.9791666666667
data_preprocessed\train\buka\buka48k-buka_114.wav.wav,buka,0.031272467,0.15481754,0.1301856,0.10463169642857142,960.6042097690998,1094.9659112984973,21.10768831442844,1731.3988095238096
data_preprocessed\train\buka\buka48k-buka_115.wav.wav,buka,0.041378316,0.2484728,0.21537508,0.07837818287037036,1032.993147407223,1156.9985975449247,22.904993056044507,2081.3078703703704
data_preprocessed\train\buka\buka48k-buka_116.wav.wav,buka,0.04146715,0.2485168,0.21544135,0.07606336805555555,1031.53594990236,1153.2495888373578,22.82045744828679,2078.9930555555557
data_preprocessed\train\buka\buka48k-buka_117.wav.wav,buka,0.041315403,0.248458,0.21534309,0.0817599826388889,1034.9033743223447,1161.2578988085572,22.760245075028628,2084.7800925925926
data_preprocessed\train\buka\buka48k-buka_118.wav.wav,buka,0.041496202,0.24849442,0.21543187,0.07566550925925926,1031.0288230138312,1152.2804174385483,22.834985902672113,2078.703703703704
data_preprocessed\train\buka\buka48k-buka_119.wav.wav,buka,0.03133554,0.15485442,0.13023345,0.1033296130952381,960.2723903021264,1094.3666437917086,21.048895431830893,1730.282738095238
data_preprocessed\train\buka\buka48k-buka_12.wav.wav,buka,0.042841807,0.24893963,0.21555229,0.07494419642857143,1044.4028861709564,1161.0427192462682,23.09135666406708,2113.1696428571427
data_preprocessed\train\buka\buka48k-buka_120.wav.wav,buka,0.041321516,0.24842331,0.21531686,0.0813259548611111,1034.7850802878409,1160.9091940119836,22.78038933432734,2084.490740740741
data_preprocessed\train\buka\buka48k-buka_121.wav.wav,buka,0.04069493,0.2428152,0.21149607,0.07991536458333333,1026.3398491937426,1155.7178817296324,22.56456036866617,2045.5729166666667
data_preprocessed\train\buka\buka48k-buka_122.wav.wav,buka,0.04073985,0.24283363,0.21152592,0.07967122395833333,1025.0890666600214,1153.15202462864,22.43658768998333,2043.2942708333333
data_preprocessed\train\buka\buka48k-buka_123.wav.wav,buka,0.031603225,0.1496943,0.12542906,0.103515625,957.2637117431077,1127.0273931066972,20.743905583312404,1760.15625
