split,label,file_path
train,buka,data_preprocessed\train\buka\buka48k-buka_0.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_1.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_10.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_100.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_101.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_102.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_103.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_104.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_105.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_106.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_107.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_108.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_109.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_11.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_110.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_111.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_112.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_113.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_114.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_115.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_116.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_117.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_118.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_119.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_12.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_120.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_121.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_122.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_123.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_124.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_125.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_126.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_127.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_128.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_129.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_13.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_130.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_131.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_132.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_133.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_134.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_135.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_136.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_137.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_138.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_139.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_14.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_140.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_141.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_142.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_143.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_144.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_145.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_146.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_147.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_148.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_149.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_15.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_16.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_17.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_18.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_19.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_2.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_20.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_21.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_22.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_23.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_24.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_25.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_26.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_27.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_28.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_29.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_3.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_30.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_31.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_32.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_33.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_34.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_35.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_36.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_37.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_38.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_39.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_4.wav.wav
train,buka,data_preprocessed\train\buka\buka48k-buka_40.wav.wav
