,NO2,t1
0,1.5131935469980816e-05,1.5131935469980816e-05
1,1.5131935469980816e-05,1.5131935469980816e-05
2,1.5131935469980816e-05,1.5131935469980816e-05
3,1.5131935469980816e-05,1.5131935469980816e-05
4,3.9315833419095725e-05,1.5131935469980816e-05
5,5.000783949071774e-05,3.9315833419095725e-05
6,6.069984556233976e-05,5.000783949071774e-05
7,7.139185163396178e-05,6.069984556233976e-05
8,8.20838577055838e-05,7.139185163396178e-05
9,6.426266463677166e-05,8.20838577055838e-05
10,4.6441471567959525e-05,6.426266463677166e-05
11,2.862027849914739e-05,4.6441471567959525e-05
12,6.153349168016575e-05,2.862027849914739e-05
13,4.100095702597173e-05,6.153349168016575e-05
14,4.108411748246807e-05,4.100095702597173e-05
15,4.116727793896441e-05,4.108411748246807e-05
16,4.1250438395460755e-05,4.116727793896441e-05
17,4.13335988519571e-05,4.1250438395460755e-05
18,4.1416759308453445e-05,4.13335988519571e-05
19,4.149991976494979e-05,4.1416759308453445e-05
20,4.158308022144613e-05,4.149991976494979e-05
21,4.166624067794247e-05,4.158308022144613e-05
22,4.174940113443881e-05,4.166624067794247e-05
23,4.0379059707144435e-05,4.174940113443881e-05
24,3.900871827985005e-05,4.0379059707144435e-05
25,3.328273699783798e-05,3.900871827985005e-05
26,1.9423834601184357e-05,3.328273699783798e-05
27,2.020206958756414e-05,1.9423834601184357e-05
28,2.098030457394392e-05,2.020206958756414e-05
29,2.1758539560323698e-05,2.098030457394392e-05
30,2.253677454670348e-05,2.1758539560323698e-05
31,5.1277506827318575e-05,2.253677454670348e-05
32,4.752520923526996e-05,5.1277506827318575e-05
33,4.377291164322135e-05,4.752520923526996e-05
34,4.002061405117274e-05,4.377291164322135e-05
35,3.626831645912413e-05,4.002061405117274e-05
36,3.335698784212582e-05,3.626831645912413e-05
37,3.921486101414e-05,3.335698784212582e-05
38,4.507273418615417e-05,3.921486101414e-05
39,6.779521208954975e-05,4.507273418615417e-05
40,6.288297833331551e-05,6.779521208954975e-05
41,5.7970744577081254e-05,6.288297833331551e-05
42,5.3058510820847006e-05,5.7970744577081254e-05
43,4.814627706461276e-05,5.3058510820847006e-05
44,4.323404330837851e-05,4.814627706461276e-05
45,7.877365533204284e-05,4.323404330837851e-05
46,4.375048047222663e-05,7.877365533204284e-05
47,3.353621165539759e-05,4.375048047222663e-05
48,4.32566627447765e-05,3.353621165539759e-05
49,5.297711383415541e-05,4.32566627447765e-05
50,3.276710989060424e-05,5.297711383415541e-05
51,4.532905913947616e-05,3.276710989060424e-05
52,3.635277607827448e-05,4.532905913947616e-05
53,3.9254452804016186e-05,3.635277607827448e-05
54,4.21561295297579e-05,3.9254452804016186e-05
55,4.5057806255499605e-05,4.21561295297579e-05
56,4.795948298124131e-05,4.5057806255499605e-05
57,6.489087172667496e-05,4.795948298124131e-05
