,date,NO2
0,2023-12-31,1.5131935469980816e-05
1,2024-01-01,1.5131935469980816e-05
2,2024-01-02,1.5131935469980816e-05
3,2024-01-03,1.5131935469980816e-05
4,2024-01-04,1.5131935469980816e-05
5,2024-01-05,3.9315833419095725e-05
6,2024-01-06,5.000783949071774e-05
7,2024-01-07,6.069984556233976e-05
8,2024-01-08,7.139185163396178e-05
9,2024-01-09,8.20838577055838e-05
10,2024-01-10,6.426266463677166e-05
11,2024-01-11,4.6441471567959525e-05
12,2024-01-12,2.862027849914739e-05
13,2024-01-13,6.153349168016575e-05
14,2024-01-14,4.100095702597173e-05
15,2024-01-15,4.108411748246807e-05
16,2024-01-16,4.116727793896441e-05
17,2024-01-17,4.1250438395460755e-05
18,2024-01-18,4.13335988519571e-05
19,2024-01-19,4.1416759308453445e-05
20,2024-01-20,4.149991976494979e-05
21,2024-01-21,4.158308022144613e-05
22,2024-01-22,4.166624067794247e-05
23,2024-01-23,4.174940113443881e-05
24,2024-01-24,4.0379059707144435e-05
25,2024-01-25,3.900871827985005e-05
26,2024-01-26,3.328273699783798e-05
27,2024-01-27,1.9423834601184357e-05
28,2024-01-28,2.020206958756414e-05
29,2024-01-29,2.098030457394392e-05
30,2024-01-30,2.1758539560323698e-05
31,2024-01-31,2.253677454670348e-05
32,2024-02-01,5.1277506827318575e-05
33,2024-02-02,4.752520923526996e-05
34,2024-02-03,4.377291164322135e-05
35,2024-02-04,4.002061405117274e-05
36,2024-02-05,3.626831645912413e-05
37,2024-02-06,3.335698784212582e-05
38,2024-02-07,3.921486101414e-05
39,2024-02-08,4.507273418615417e-05
40,2024-02-09,6.779521208954975e-05
41,2024-02-10,6.288297833331551e-05
42,2024-02-11,5.7970744577081254e-05
43,2024-02-12,5.3058510820847006e-05
44,2024-02-13,4.814627706461276e-05
45,2024-02-14,4.323404330837851e-05
46,2024-02-15,7.877365533204284e-05
47,2024-02-16,4.375048047222663e-05
48,2024-02-17,3.353621165539759e-05
49,2024-02-18,4.32566627447765e-05
50,2024-02-19,5.297711383415541e-05
51,2024-02-20,3.276710989060424e-05
52,2024-02-21,4.532905913947616e-05
53,2024-02-22,3.635277607827448e-05
54,2024-02-23,3.9254452804016186e-05
55,2024-02-24,4.21561295297579e-05
56,2024-02-25,4.5057806255499605e-05
57,2024-02-26,4.795948298124131e-05
58,2024-02-27,6.489087172667496e-05
59,2024-02-28,5.243001457226153e-05
60,2024-02-29,3.996915741784809e-05
61,2024-03-01,3.735036524530086e-05
62,2024-03-02,3.473157307275364e-05
63,2024-03-03,3.211278090020642e-05
64,2024-03-04,3.488303555059247e-05
65,2024-03-05,3.765329020097852e-05
66,2024-03-06,3.656924418464769e-05
67,2024-03-07,3.5485198168316856e-05
68,2024-03-08,3.463729006563715e-05
69,2024-03-09,3.3789381962957456e-05
70,2024-03-10,3.294147386027775e-05
71,2024-03-11,3.209356575759805e-05
72,2024-03-12,3.124565765491835e-05
73,2024-03-13,3.0397749552238647e-05
74,2024-03-14,2.9549841449558947e-05
75,2024-03-15,2.8701933346879244e-05
76,2024-03-16,2.7854025244199544e-05
77,2024-03-17,2.7006117141519844e-05
78,2024-03-18,2.615820903884014e-05
79,2024-03-19,2.0102433457698982e-05
80,2024-03-20,3.155256037846104e-05
81,2024-03-21,4.30026872992231e-05
82,2024-03-22,5.445281421998516e-05
83,2024-03-23,4.8072633398987824e-05
84,2024-03-24,4.169245257799048e-05
85,2024-03-25,4.0916151374403856e-05
86,2024-03-26,4.0139850170817226e-05
87,2024-03-27,3.829317847703351e-05
88,2024-03-28,3.829610235091726e-05
89,2024-03-29,3.829902622480101e-05
90,2024-03-30,3.055918872026572e-05
91,2024-03-31,1.90573782674619e-05
92,2024-04-01,3.166831602356979e-05
93,2024-04-02,4.427925377967767e-05
94,2024-04-03,3.59908235623152e-05
95,2024-04-04,9.75835973804351e-05
96,2024-04-05,6.61340748896085e-05
97,2024-04-06,3.468455239878191e-05
98,2024-04-07,3.672714910862851e-05
99,2024-04-08,3.356045484300315e-05
100,2024-04-09,3.897158800706772e-05
101,2024-04-10,4.438272117113229e-05
102,2024-04-11,5.92292271903716e-05
103,2024-04-12,1.695389346423326e-05
104,2024-04-13,1.852112677624973e-05
105,2024-04-14,2.00883600882662e-05
106,2024-04-15,2.3488305714636226e-05
107,2024-04-16,2.6888251341006253e-05
108,2024-04-17,3.137622106805793e-05
109,2024-04-18,3.5864190795109605e-05
110,2024-04-19,2.2777081539970823e-05
111,2024-04-20,4.528528400745321e-05
112,2024-04-21,4.590310272002777e-05
113,2024-04-22,4.652092143260234e-05
114,2024-04-23,4.7138740145176906e-05
115,2024-04-24,4.7756558857751466e-05
116,2024-04-25,4.837437757032603e-05
117,2024-04-26,4.89921962829006e-05
118,2024-04-27,4.9610014995475166e-05
119,2024-04-28,5.022783370804973e-05
120,2024-04-29,4.710880239144899e-05
121,2024-04-30,2.438967446020494e-05
