PC1,PC2,localization_class
-0.28560071253468544,-0.035273683404016376,cp
-0.2908381676899108,-0.330159002701329,cp
-0.10467597188907274,0.01524770402226966,cp
-0.08794300816336786,0.12221767344037815,cp
-0.36626760084107435,-0.2103661133542383,cp
-0.08023001225309967,0.08327277170333514,cp
-0.385553567078912,-0.18739006116323714,cp
-0.3319010946971489,-0.23519751416235216,cp
-0.06432979700598873,-0.28387053525007977,cp
-0.37151499458506043,-0.0029601765985202144,cp
-0.279663476632132,-0.12284696673254075,cp
-0.45295879645148895,-0.08559031149284668,cp
-0.3317318094796826,-0.09719731592296532,cp
-0.21901727771161938,0.07979446400981449,cp
-0.4749506954750418,-0.127100272607705,cp
-0.12989914178128248,-0.24257591493235173,cp
-0.34865964612715195,-0.06878926900710602,cp
0.028363561532423587,-0.19918563783576176,cp
-0.3433538136974731,-0.19045807001103915,cp
-0.3513704042501643,0.060941858418452344,cp
-0.5567942646885278,0.1227863172386453,cp
-0.5875933699186904,-0.08869103730799671,cp
-0.15979858099346567,0.0636512527838985,cp
-0.5258032454684105,-0.18313218710180146,cp
-0.4200762520500608,-0.029497986395852827,cp
-0.11604049215175327,-0.22828575436578438,cp
-0.2657013561721754,-0.1923489491988708,cp
-0.27790173037618426,-0.15703055604178062,cp
-0.1720423702577174,-0.08376634596827254,cp
-0.22504570581870165,-0.06064460577067987,cp
-0.26139169761501047,0.030121052580281915,cp
-0.22853446539109246,-0.1778098194870889,cp
-0.11665082071953314,0.06620763360220494,cp
-0.2058165934302464,-0.1532501099332626,cp
-0.4613535292465694,-0.17768332757209504,cp
-0.16504526171045408,-0.061251324395635576,cp
-0.2943897889233934,-0.08667427595576305,cp
-0.1379108335791568,0.1528889163927596,cp
-0.3166485765470398,-0.1161199234327912,cp
-0.3699897522411709,-0.002973344341304307,cp
-0.23945790833277214,-0.10021823020134024,cp
-0.13555288782063335,-0.20099448183893673,cp
-0.13612438063585686,-0.05619063335525387,cp
-0.2528712689973035,-0.17958859761364648,cp
-0.12896329115308702,0.10004694460182195,cp
-0.18661777201140095,-0.30221325726821247,cp
0.07481576778720689,-0.17158964555958306,cp
-0.2688714147124134,-0.048674322332518116,cp
-0.412272420518326,-0.013731343884093639,cp
-0.27870454892723984,-0.25006428607449105,cp
-0.19577802637284047,-0.02512112781926662,cp
-0.6245810452471768,-0.09082702156601097,cp
-0.2251905028788691,-0.266395306974628,cp
-0.028398798456443997,-0.20207408340630992,cp
-0.43637704485867124,0.07237731294829874,cp
-0.1881317978511855,0.04718645583098585,cp
-0.15814801971091774,-0.03893181122149958,cp
-0.22197302738241365,-0.11027591805740194,cp
-0.22515068965129903,-0.09775955959058824,cp
-0.18610835441275153,-0.08039363559813484,cp
-0.01833289172248387,-0.02718512370216919,cp
-0.2449824993793296,0.0010003862887495996,cp
-0.055476085539409636,-0.16657254624692408,cp
-0.4053281269276654,-0.26103644470624177,cp
-0.1885923589089673,-0.09221409682974457,cp
-0.02063356010217321,-0.2652052695435886,cp
-0.2772807412714885,-0.21109576142272102,cp
0.005052190294208114,0.03192356686016162,cp
-0.35946211766642533,-0.17999837628685172,cp
-0.12582531255151985,-0.10287482330287628,cp
-0.3924151129098018,-0.23028946033379386,cp
-0.2758056962967935,0.03462156606363692,cp
-0.18376344508146936,-0.06900055840980945,cp
-0.3965304045493192,0.052248766368384936,cp
-0.3401264318604381,-0.16825698267269684,cp
-0.3004363032173091,-0.09054125590789558,cp
-0.2863740290106762,0.0201645960004746,cp
-0.06666641708118293,-0.0769166433233453,cp
-0.2897552101909642,-0.09382564772162372,cp
-0.1905950517771876,-0.17771886309158963,cp
-0.2287084750287789,-0.2028080480187932,cp
-0.23115245021739872,-0.05505032338395577,cp
-0.3725346604223331,-0.08836061955294638,cp
-0.2249380170122739,-0.03643628644685215,cp
-0.06900602213050544,-0.08403207865672274,cp
-0.005260348966576234,-0.1188228804360747,cp
-0.011861526785305054,-0.016710485622763838,cp
-0.16378088187566986,0.01888677033875258,cp
-0.3176994744082213,0.07932744149662818,cp
-0.2598016953816221,0.023111359058435865,cp
-0.19601094429412236,-0.10233959488347283,cp
-0.3607887767000463,-0.010057974405651204,cp
-0.37030310421701895,0.019300991588028393,cp
-0.40438303879043136,-0.08423570289321419,cp
-0.3181669536672098,-0.1040426788481208,cp
-0.11309767324249942,0.2969701922743445,cp
-0.2462539197769209,-0.14830124985580573,cp
-0.24795757068885704,0.15165885490990216,cp
-0.1927149096413453,0.2283060459364793,cp
-0.1751029438238152,0.04004246230789266,cp
-0.295900355732138,-0.054744844842398166,cp
-0.21694534670241716,-0.10696672474578461,cp
-0.4270458625668555,-0.09734034291469557,cp
-0.4063991294175793,-0.028889062771880136,cp
-0.32083787106309514,-0.22517301868929554,cp
-0.27056009872052,-0.12871023277806581,cp
-0.18206701568670014,-0.005178576674331581,cp
-0.08795518660156587,-0.1604787067237058,cp
-0.2109676167934772,0.01016017984862555,cp
-0.3823319432798429,-0.010460585304676251,cp
-0.550397415416755,-0.060568547378855864,cp
-0.037327157007174705,-0.22126025643488154,cp
-0.35127694282550204,-0.08669212759746853,cp
-0.2823486192616744,-0.13684429632782164,cp
-0.3807022444273701,-0.022871653027026928,cp
-0.3419609091212522,0.04324615437988061,cp
-0.22890099971026312,-0.12387431558872608,cp
-0.38906584453223925,0.12848415073325514,cp
-0.1591219268458034,-0.1789279657995877,cp
-0.14743046696146866,-0.2651112161681489,cp
-0.2972146113282327,-0.2695028613335847,cp
-0.3833564381985459,-0.15273555573933195,cp
-0.3242418570973219,-0.2384323507337446,cp
